url,title,domain,seendate
https://news.google.com/rss/articles/CBMi7wFBVV95cUxPSmFnNkNaR1IwSzJFOF9FdUtUZTNIWWtCdTFxSnFQNklfeEhwUTZUWlZ5M1dwcW5SbDJQTlc3YTl4bnFIdlQ4bzdWTVlvbTJiSllPcDExb3p6eGJRX0tONldJVWVYaTJtNi1Tb1pNc3JlSVRyZllOQVpHNHZsUWVOelFHNVprWlhzRU41dDRmV3B0bFpJeGhybDdFNGN0bGx3MS1QYzhJd1hlQkNzNDlVQS1TVnRRa1FQZ2t4dHFoRDN6MHlZdktWaUQwcDY2SWlSalBXZkpJMGE0aW5FandZaGJiQXZzcXNsTGluVXN2NA?oc=5,150 trees cut down so far at East Potomac Park as Trump Administration defends work at the golf course - WUSA9,WUSA9,2026-09-03 07:00:00+00:00
https://news.google.com/rss/articles/CBMiwAJBVV95cUxQUFdUSjJBNUtoR3BZZGwtOTVycm0xaWM3SlByTE85TTZqTzJjekhmZHhQYWw1ZWFyVUFaajdzTmJ4T2tNTUYxeEFTZnVyblV5MTFYaXFoT0w2cEtVZHRJZVl5aFVXVklsWlJhLVp3d0traVdjakJJYTFscTZuSFZobHppdlZNS0x1UFp1S2FfWUw4VHhiUjdlZHpmRjB0aF9UVHA5Y2Y0LVcwNHpUbVA4ZmFWOGZIamVtN3RycU01ZnRVbW90cmhiSFkyR1NTTkEzTzluQWRZdXJZVElnczZ4dVRaNEh2SEhqMy1hQlA4aWdJXzNDWWF6LVlSV09LZ2lsNmhFSGY5ZGZhdkp3b1hPdE5oaC1lb2djYkJ1QTV3bVlQXzIyLW42bzR1UnJCa3g1cGIwbE1lSkpXYWcwVHFvcw?oc=5,More than 60 trees removed at East Potomac Park: What happens next? - WJLA,WJLA,2026-09-02 07:00:00+00:00
https://news.google.com/rss/articles/CBMizgFBVV95cUxQenN2RWZ6Ri1wOEk3T3B5YWp1SUVqVlI2WTVhd3lLU0Q5V0I0dUtNaEhOXy05OXQzVk5rRDhneWFCSDA2Z3gxeWtpTUl5THdtNkY4eUxRQkV3MkFPek5rYi1MRXZYcHpTRTBPZ28zVWNjMlFHTjExRzRQbTJES2JjM3YyMk9wSHBqTWlSb0dNbngxVzhDRFJQYV9ObllOb1BXS3ctekx2RE1KTVhfWW5wT1hQRmNSTjVPZjc3RDNicVVBZk1ZdmZ6U3N0WWxmQQ?oc=5,‘America’s national parks are not for sale’: Cyclists rally at Hains Point over proposed golf course changes - WTOP News,WTOP News,2026-08-29 07:00:00+00:00
https://news.google.com/rss/articles/CBMiwgFBVV95cUxOQlM0azBrMHN2OU5RWDZZWUU4Y2hlaTBpY3NJUUlQV0dTc2Vwb3FCRjFlNDNGOW5zcnRJcUJZNlFhaFZucHpZMHhITmZObjgtSXBNT3RXdlZpNElhM3M4dFRwVzF5anBEWTE0d2tIUlFfZlE0blBNdDUtZjBKMWE4b01xVjhRYVA5Vm1zSkFlekNPb1ZPZG54WWktb2w3dHdSRllUc2xBV0NJZmhHUWdJSENqM3JBODhwMXJzamNPREkyZ9IBygFBVV95cUxPb1BzVmhLRnYxdGtFVGNGeXp2LVA3VlJyVEFmQ2ktZHJ5clNqNVNEZFpEM1lPcFJFOVowbXY1UzVUT0pMc0p3TkZGWm1kbTE2dU8zRGowYi1oYjB0aDBmZ01NWDVFX1E4TjIzYmpvUURiOHpvU0xpUjB1dDlNNk10aERpUUYyaDMtdExsSmNyTmtnM0Q2YXJ0czh3VXhJdjY5cG13UFJteXluVzE5MEdxMEs3dUpka3FPVXlERUxqU0xaekt1T25fcWxR?oc=5,East Potomac Park: Judge allows continued tree work by Trump administration - NBC4 Washington,NBC4 Washington,2026-09-03 07:00:00+00:00
https://news.google.com/rss/articles/CBMilAJBVV95cUxPMnl2N041Y3FrMXJseTlZeXpXOEk3akRsdklRQmJGRGM3SGljb1BtNEVfUDdpLU1pUTJfRVh4eTdqUFJZRnZGNzUtNXZtOWdkSzV1OUZYLVNpYXV6TEVLNVBzcXh5eXF2SmVsUnF3RW1sTDZrYjNibUpBOHVSYzdZMGtIeldIU0RQR1dkVkJDemMwZ1Q4TU84LVlRQUJkNDJMV0wwbUZIcWdaVXBuZWN0YjBYd3pMalhnSGxwNjNGeEJDNTNqdzRFSXRFM1g4Ykc5ZklRbGlyVlZkZnNVbUtab055bm9hdU9aaE02S1RZMG56MUdCUC1ublBxYTNXcE9OcEYwdWJBMzZfcS1Ia2dIOGItOVk?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - Bozeman Daily Chronicle,Bozeman Daily Chronicle,2026-09-16 22:02:56+00:00
https://news.google.com/rss/articles/CBMilwFBVV95cUxNSURZcVBBR0M0dnZZMHc4NU1pQ3ppTG94ODBQQ2ZTV3JfVWxGMWRxaU1saDVQM3JYb2MzTkRjSml5QjlMNnZrSjdMWlFQWVlIT0tMYkVvM0VQeU9TdWRkdS1RUGJJS2RfbnFzWXhZYkliR255YklvcTVJbzk4Q0NpazRDQ0g4eThDTFZWVDRDc1NQcGZhcWZj0gFKQVVfeXFMTkJvRDItcEs5dThPZzh3c2J3VHRmdkdWLUFmUEJXS0dad2FBd3pGLWg1TXU0LU5zR2lkcWNaRjgxakhhS3FsaXpYbEE?oc=5,Congress made Hains Point a public park. Will it stay that way? - Greater Greater Washington,Greater Greater Washington,2026-08-27 07:00:00+00:00
https://news.google.com/rss/articles/CBMiwAFBVV95cUxOTEN4M19HczBDaGtuOHpiVHRzNGlCb3VhX2tQVXJ5OE96bmtHUnFkUV9jbXVaaHhSNzBpTEQzQjRBVnJrYmc3SEJWVC1WbnNmNmNxd0ZlOW00cTlQMGhGTXlUWUxFRWMwaFh3R1NwNDBOM0wxMVM3YUpMank2T083d3Q1T2VVYTltVXJWRnQxc1RhNy0xYzZSY0swTDRuci1UNzJidDc5dFBNcm5FZzFMZFNOREkzeWtOUTA3X0pRekg?oc=5,East Potomac Park Golf Course - chronicleonline.com,chronicleonline.com,2026-09-15 17:26:59+00:00
https://news.google.com/rss/articles/CBMinwFBVV95cUxNaHk3STIzX2I5X1BKY3hVbEFNM2lzb2tkRDMtT0xSSC1QeFh6b2Z6dmdHTk15LXJVWUllODEyYjlVbUpmZ1VXZEdMSUhES29FSVZwdHhWWEZVOGwzNnBpN2wyQVducUxjUUZrVmtBTEtNNWd0ZGVuV1dQcU9naGtDVWI3bVlsR1V1MkN3RGJ6MEZadW8wbGlMZEtqdV9DOUE?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - Chron,Chron,2026-09-17 05:05:24+00:00
https://news.google.com/rss/articles/CBMihgJBVV95cUxNLVd1SURTSU56eFhBNG1CUkZzZ01RZFd5LTZKeTkxUFUycHBKam9sZ003ZmxqZUJxQWRjdjlXWEJhQkdwUXpwcDBHWEZkZ2p6eU5xSC14dHhhdlZrZjNCQ01VcjBrRDNmcjBfeWFOeFZkbGRNblBVSUNEZzBtX0JOVEFKMlE4RkdDNDdfTm52MVBOU05XYjN2eVV0S2tNdm82UUxuQi1RRER5aUJ1c3hxQjRadUZNRW1telNpeG5aYnRGT2VWZWloTUVUdnpILVI1UGJieEI5QVVJd1FldnMteUpmaHRSRXNxNTZ6TXpBVGZVM0FvLVZYNjZnX0ExallEYlNsN2FR?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - madisoncourier.com,madisoncourier.com,2026-09-16 22:02:56+00:00
https://news.google.com/rss/articles/CBMirwFBVV95cUxPaGItLTk4ajdoUWZjaFN2NkloczlRM3FqeDFsaTFGSlNBSU5IMGF4YzMzb2lHck8weEFyeWdpUGkyNmV2QUU4bk1VMDlrSmktekJqcWRaSWdORTBmMGhRamRzR0tYTDlBdENPNHppM1ZiQVU5NUQtOG5Bb0Vpc0tDbnlBcWxEZmxEWmJyNFZFZmwwTmtJcFN1YnJmdmZsWVpJaUZnbGllZ05Ca3B3VENv?oc=5,Tree removals at East Potomac golf course raise alarms - Axios,Axios,2026-08-28 07:00:00+00:00
